proportion_correct,bias,recall,precision,kappa,f1,csi,far,site,stage,dem_type,strategy
0.9015,1.3671,0.9805,0.7172,0.7616,0.8284,0.7071,0.2828,kansas_city_103rdSt,100,usgs,single
0.8444,1.7133,0.8305,0.4847,0.5231,0.6122,0.4411,0.5153,kansas_city_103rdSt,93,fabdem,single
0.8466,1.5092,0.7097,0.4702,0.4771,0.5657,0.3944,0.5298,kansas_city_103rdSt,93,aster,single
0.8657,1.0862,0.5655,0.5206,0.4636,0.5421,0.3719,0.4794,kansas_city_103rdSt,93,aw3d30,single
0.8884,0.8479,0.5276,0.6223,0.5074,0.5711,0.3997,0.3777,kansas_city_103rdSt,93,copdem,single
0.8999,0.5419,0.4212,0.7772,0.4956,0.5463,0.3758,0.2228,kansas_city_103rdSt,93,gedtm,single
0.8835,1.1446,0.6617,0.5781,0.5488,0.6171,0.4462,0.4219,kansas_city_103rdSt,93,nasadem,single
0.889,1.1287,0.6731,0.5964,0.5673,0.6324,0.4624,0.4036,kansas_city_103rdSt,93,srtm,single
0.7803,2.2673,0.8908,0.3929,0.4278,0.5453,0.3748,0.6071,kansas_city_103rdSt,93,all,majority_>= 1
0.8481,1.686,0.8294,0.4919,0.5303,0.6175,0.4467,0.5081,kansas_city_103rdSt,93,all,majority_>= 2
0.8824,1.3311,0.7679,0.5769,0.5895,0.6589,0.4913,0.4231,kansas_city_103rdSt,93,all,majority_>= 3
0.9068,1.0091,0.6894,0.6832,0.6316,0.6863,0.5224,0.3168,kansas_city_103rdSt,93,all,majority_>= 4
0.914,0.7122,0.5654,0.7939,0.6128,0.6605,0.4931,0.2061,kansas_city_103rdSt,93,all,majority_>= 5
0.9017,0.4949,0.4152,0.8391,0.5073,0.5556,0.3846,0.1609,kansas_city_103rdSt,93,all,majority_>= 6
0.8809,0.2309,0.2127,0.9212,0.3072,0.3457,0.2089,0.0788,kansas_city_103rdSt,93,all,majority_>= 7
0.8975,1.1468,0.727,0.6339,0.6167,0.6773,0.512,0.3661,kansas_city_103rdSt,93,all,f-weighted
0.9083,0.7509,0.5654,0.753,0.5944,0.6459,0.477,0.247,kansas_city_103rdSt,93,all,edge-weighted
0.9295,1.4732,0.9946,0.6751,0.7632,0.8043,0.6726,0.3249,kansas_city_103rdSt,93,usgs,single
0.8516,1.331,0.8276,0.6218,0.613,0.7101,0.5505,0.3782,kansas_city_103rdSt,98,fabdem,single
0.8042,1.4445,0.7605,0.5265,0.496,0.6222,0.4516,0.4735,kansas_city_103rdSt,98,aster,single
0.8279,1.075,0.6257,0.582,0.4934,0.6031,0.4317,0.418,kansas_city_103rdSt,98,aw3d30,single
0.8576,0.8164,0.5723,0.701,0.5431,0.6302,0.46,0.299,kansas_city_103rdSt,98,copdem,single
0.8502,0.4705,0.3788,0.8051,0.4399,0.5152,0.347,0.1949,kansas_city_103rdSt,98,gedtm,single
0.8447,1.0606,0.6616,0.6237,0.5431,0.6421,0.4728,0.3763,kansas_city_103rdSt,98,nasadem,single
0.8355,1.1566,0.6876,0.5946,0.5321,0.6377,0.4681,0.4054,kansas_city_103rdSt,98,srtm,single
0.7576,1.9034,0.8996,0.4726,0.466,0.6197,0.4489,0.5274,kansas_city_103rdSt,98,all,majority_>= 1
0.8186,1.5364,0.8552,0.5566,0.5563,0.6743,0.5087,0.4434,kansas_city_103rdSt,98,all,majority_>= 2
0.8521,1.2383,0.7824,0.6318,0.6025,0.6991,0.5374,0.3682,kansas_city_103rdSt,98,all,majority_>= 3
0.8767,0.9609,0.6996,0.7281,0.635,0.7136,0.5547,0.2719,kansas_city_103rdSt,98,all,majority_>= 4
0.8745,0.7027,0.5655,0.8048,0.59,0.6643,0.4973,0.1952,kansas_city_103rdSt,98,all,majority_>= 5
0.8599,0.5272,0.4444,0.843,0.5074,0.582,0.4105,0.157,kansas_city_103rdSt,98,all,majority_>= 6
0.8294,0.2628,0.2429,0.9242,0.3228,0.3847,0.2382,0.0758,kansas_city_103rdSt,98,all,majority_>= 7
0.871,1.0314,0.7218,0.6999,0.6277,0.7107,0.5512,0.3001,kansas_city_103rdSt,98,all,f-weighted
0.8715,0.6782,0.5464,0.8056,0.5759,0.6511,0.4827,0.1944,kansas_city_103rdSt,98,all,edge-weighted
0.9026,1.4002,0.9746,0.6961,0.7489,0.8121,0.6837,0.3039,kansas_city_103rdSt,98,usgs,single
0.8514,3.8127,0.9298,0.2439,0.3332,0.3864,0.2394,0.7561,kansas_city_103rdSt,88,fabdem,single
0.8884,2.5667,0.6367,0.2481,0.3086,0.357,0.2173,0.7519,kansas_city_103rdSt,88,aster,single
0.9082,1.9109,0.5182,0.2712,0.3118,0.356,0.2166,0.7288,kansas_city_103rdSt,88,aw3d30,single
0.9359,1.41,0.5467,0.3877,0.4207,0.4537,0.2934,0.6123,kansas_city_103rdSt,88,copdem,single
0.955,1.1586,0.621,0.536,0.5517,0.5753,0.4038,0.464,kansas_city_103rdSt,88,gedtm,single
0.9144,2.1203,0.6495,0.3063,0.3765,0.4163,0.2629,0.6937,kansas_city_103rdSt,88,nasadem,single
0.9176,2.0653,0.6564,0.3178,0.3896,0.4283,0.2725,0.6822,kansas_city_103rdSt,88,srtm,single
0.8042,4.8261,0.9666,0.2003,0.2711,0.3318,0.1989,0.7997,kansas_city_103rdSt,88,all,majority_>= 1
0.8745,3.3144,0.9097,0.2745,0.3733,0.4217,0.2672,0.7255,kansas_city_103rdSt,88,all,majority_>= 2
0.9073,2.5084,0.8328,0.332,0.434,0.4747,0.3113,0.668,kansas_city_103rdSt,88,all,majority_>= 3
0.9305,1.8395,0.7291,0.3964,0.4796,0.5135,0.3455,0.6036,kansas_city_103rdSt,88,all,majority_>= 4
0.9485,1.194,0.5853,0.4902,0.5065,0.5335,0.3638,0.5098,kansas_city_103rdSt,88,all,majority_>= 5
0.9546,0.699,0.398,0.5694,0.4456,0.4685,0.3059,0.4306,kansas_city_103rdSt,88,all,majority_>= 6
0.9552,0.2642,0.1873,0.7089,0.2812,0.2963,0.1739,0.2911,kansas_city_103rdSt,88,all,majority_>= 7
0.9198,2.2074,0.806,0.3652,0.4656,0.5026,0.3357,0.6348,kansas_city_103rdSt,88,all,f-weighted
0.9435,1.408,0.6421,0.4561,0.5042,0.5333,0.3636,0.5439,kansas_city_103rdSt,88,all,edge-weighted
0.9386,2.1798,0.9881,0.4533,0.593,0.6215,0.4508,0.5467,kansas_city_103rdSt,88,usgs,single
0.8378,1.5583,0.8261,0.5302,0.5471,0.6458,0.4769,0.4698,kansas_city_103rdSt,96,fabdem,single
0.8107,1.5929,0.7516,0.4719,0.4657,0.5798,0.4082,0.5281,kansas_city_103rdSt,96,aster,single
0.8428,1.122,0.608,0.5419,0.4771,0.5731,0.4016,0.4581,kansas_city_103rdSt,96,aw3d30,single
0.8688,0.8683,0.5565,0.6409,0.5179,0.5957,0.4242,0.3591,kansas_city_103rdSt,96,copdem,single
0.8787,0.5337,0.415,0.7776,0.4787,0.5412,0.371,0.2224,kansas_city_103rdSt,96,gedtm,single
0.8619,1.1804,0.6907,0.5851,0.5491,0.6335,0.4636,0.4149,kansas_city_103rdSt,96,nasadem,single
0.8585,1.2374,0.7093,0.5733,0.5476,0.6341,0.4642,0.4267,kansas_city_103rdSt,96,srtm,single
0.749,2.1861,0.8919,0.408,0.4166,0.5599,0.3888,0.592,kansas_city_103rdSt,96,all,majority_>= 1
0.8185,1.7115,0.8487,0.4959,0.5168,0.626,0.4556,0.5041,kansas_city_103rdSt,96,all,majority_>= 2
0.8587,1.3684,0.7895,0.5769,0.5797,0.6667,0.5,0.4231,kansas_city_103rdSt,96,all,majority_>= 3
0.8896,1.0395,0.7115,0.6844,0.6302,0.6977,0.5357,0.3156,kansas_city_103rdSt,96,all,majority_>= 4
0.8991,0.7726,0.6043,0.7822,0.623,0.6819,0.5173,0.2178,kansas_city_103rdSt,96,all,majority_>= 5
0.8917,0.5639,0.4793,0.85,0.5556,0.613,0.4419,0.15,kansas_city_103rdSt,96,all,majority_>= 6
0.861,0.2688,0.2462,0.9161,0.3379,0.3881,0.2408,0.0839,kansas_city_103rdSt,96,all,majority_>= 7
0.8789,1.1523,0.7378,0.6403,0.611,0.6856,0.5216,0.3597,kansas_city_103rdSt,96,all,f-weighted
0.8955,0.7622,0.5893,0.7731,0.6081,0.6688,0.5024,0.2269,kansas_city_103rdSt,96,all,edge-weighted
0.9048,1.5139,0.9903,0.6541,0.7297,0.7878,0.6499,0.3459,kansas_city_103rdSt,96,usgs,single
0.8469,2.1287,0.8589,0.4035,0.4709,0.5491,0.3784,0.5965,kansas_city_103rdSt,91,fabdem,single
0.8675,1.6785,0.7079,0.4217,0.4572,0.5286,0.3592,0.5783,kansas_city_103rdSt,91,aster,single
0.8903,1.1733,0.566,0.4824,0.4593,0.5208,0.3521,0.5176,kansas_city_103rdSt,91,aw3d30,single
0.9111,0.9413,0.5471,0.5813,0.5143,0.5637,0.3925,0.4187,kansas_city_103rdSt,91,copdem,single
